Team Name,Player Name,Category
Chennai Super Kings,Ruturaj Gaikwad,Batsman
Chennai Super Kings,Devon Conway,Batsman
Chennai Super Kings,Rahul Tripathi,Batsman
Chennai Super Kings,Shivam Dube,All-rounder
Chennai Super Kings,Shaik Rasheed,Batsman
Chennai Super Kings,Deepak Hooda,All-rounder
Chennai Super Kings,Shreyas Gopal,Bowler
Chennai Super Kings,Vansh Bedi,NA
Chennai Super Kings,Andre Siddharth,NA
Chennai Super Kings,MS Dhoni,Wicketkeeper-Batsman
Chennai Super Kings,Rachin Ravindra,All-rounder
Chennai Super Kings,Sam Curran,All-rounder
Chennai Super Kings,Vijay Shankar,All-rounder
Chennai Super Kings,Ravindra Jadeja,All-rounder
Chennai Super Kings,Ravichandran Ashwin,All-rounder
Chennai Super Kings,Anshul Kamboj,NA
Chennai Super Kings,Jamie Overton,All-rounder
Chennai Super Kings,Ramakrishna Ghosh,NA
Chennai Super Kings,Noor Ahmad,Bowler
Chennai Super Kings,Matheesha Pathirana,Bowler
Chennai Super Kings,Khaleel Ahmed,Bowler
Chennai Super Kings,Mukesh Choudhary,Bowler
Chennai Super Kings,Nathan Ellis,Bowler
Chennai Super Kings,Kamlesh Nagarkoti,Bowler
Chennai Super Kings,Gurjapneet Singh,Bowler
Mumbai Indians,Rohit Sharma,Batsman
Mumbai Indians,Suryakumar Yadav,Batsman
Mumbai Indians,Tilak Varma,Batsman
Mumbai Indians,Will Jacks,All-rounder
Mumbai Indians,Bevon Jacobs,Batsman
Mumbai Indians,Vignesh Puthur,All-rounder
Mumbai Indians,Ryan Rickelton,Wicketkeeper-Batsman
Mumbai Indians,Robin Minz,Wicketkeeper-Batsman
Mumbai Indians,Shrijith Krishnan,Wicketkeeper-Batsman
Mumbai Indians,Hardik Pandya,All-rounder
Mumbai Indians,Naman Dhir,All-rounder
Mumbai Indians,Raj Angad Bawa,All-rounder
Mumbai Indians,Karn Sharma,Bowler
Mumbai Indians,Mitchell Santner,All-rounder
Mumbai Indians,Jasprit Bumrah,Bowler
Mumbai Indians,Trent Boult,Bowler
Mumbai Indians,Deepak Chahar,Bowler
Mumbai Indians,Mujeeb Ur Rahman,Bowler
Mumbai Indians,Ashwani Kumar,Bowler
Mumbai Indians,Reece Topley,Bowler
Mumbai Indians,Satyanarayana Raju,All-rounder
Mumbai Indians,Corbin Bosch,All-rounder
Mumbai Indians,Arjun Tendulkar,All-rounder
Kolkata Knight Riders,Angkrish Raghuvanshi,Batsman
Kolkata Knight Riders,Rinku Singh,Batsman
Kolkata Knight Riders,Ramandeep Singh,All-rounder
Kolkata Knight Riders,Rovman Powell,All-rounder
Kolkata Knight Riders,Manish Pandey,Batsman
Kolkata Knight Riders,Luvnith Sisodia,Wicketkeeper-Batsman
Kolkata Knight Riders,Ajinkya Rahane,Batsman
Kolkata Knight Riders,Anukul Roy,All-rounder
Kolkata Knight Riders,Quinton de Kock,Wicketkeeper-Batsman
Kolkata Knight Riders,Rahmanullah Gurbaz,Wicketkeeper-Batsman
Kolkata Knight Riders,Moeen Ali,All-rounder
Kolkata Knight Riders,Andre Russell,All-rounder
Kolkata Knight Riders,Sunil Narine,All-rounder
Kolkata Knight Riders,Venkatesh Iyer,All-rounder
Kolkata Knight Riders,Varun Chakravarthy,Bowler
Kolkata Knight Riders,Mayank Markande,Bowler
Kolkata Knight Riders,Harshit Rana,Bowler
Kolkata Knight Riders,Anrich Nortje,Bowler
Kolkata Knight Riders,Vaibhav Arora,Bowler
Kolkata Knight Riders,Spencer Johnson,Bowler
Kolkata Knight Riders,Chetan Sakariya,Bowler
Rajasthan Royals,Yashasvi Jaiswal,Batsman
Rajasthan Royals,Riyan Parag,All-rounder
Rajasthan Royals,Shimron Hetmyer,Batsman
Rajasthan Royals,Nitish Rana,Batsman
Rajasthan Royals,Shubham Dubey,Batsman
Rajasthan Royals,Vaibhav Suryavanshi,Batsman
Rajasthan Royals,Kunal Rathore,Wicketkeeper-Batsman
Rajasthan Royals,Sanju Samson,Wicketkeeper-Batsman
Rajasthan Royals,Dhruv Jurel,Wicketkeeper-Batsman
Rajasthan Royals,Wanindu Hasaranga,All-rounder
Rajasthan Royals,Sandeep Sharma,Bowler
Rajasthan Royals,Jofra Archer,Bowler
Rajasthan Royals,Akash Madhwal,Bowler
Rajasthan Royals,Tushar Deshpande,Bowler
Rajasthan Royals,Yudhvir Singh,All-rounder
Rajasthan Royals,Fazalhaq Farooqi,Bowler
Rajasthan Royals,Kwena Maphaka,Bowler
Rajasthan Royals,Ashok Sharma,Bowler
Rajasthan Royals,Maheesh Theekshana,Bowler
Rajasthan Royals,Kumar Kartikeya,Bowler
Royal Challengers Bengaluru,Virat Kohli,Batsman
Royal Challengers Bengaluru,Rajat Patidar,Batsman
Royal Challengers Bengaluru,Devdutt Padikkal,Batsman
Royal Challengers Bengaluru,Swastik Chikara,Batsman
Royal Challengers Bengaluru,Phil Salt,Wicketkeeper-Batsman
Royal Challengers Bengaluru,Jitesh Sharma,Wicketkeeper-Batsman
Royal Challengers Bengaluru,Liam Livingstone,All-rounder
Royal Challengers Bengaluru,Krunal Pandya,All-rounder
Royal Challengers Bengaluru,Romario Shepherd,All-rounder
Royal Challengers Bengaluru,Tim David,All-rounder
Royal Challengers Bengaluru,Manoj Bhandage,All-rounder
Royal Challengers Bengaluru,Jacob Bethell,All-rounder
Royal Challengers Bengaluru,Mohit Rathee,All-rounder
Royal Challengers Bengaluru,Suyash Sharma,Bowler
Royal Challengers Bengaluru,Swapnil Singh,All-rounder
Royal Challengers Bengaluru,Yash Dayal,Bowler
Royal Challengers Bengaluru,Rasikh Dar,Bowler
Royal Challengers Bengaluru,Josh Hazlewood,Bowler
Royal Challengers Bengaluru,Bhuvneshwar Kumar,Bowler
Royal Challengers Bengaluru,Nuwan Thushara,Bowler
Royal Challengers Bengaluru,Abhinandan Singh,Bowler
Royal Challengers Bengaluru,Lungi Ngidi,Bowler
Delhi Capitals,Jake Fraser-McGurk,Batsman
Delhi Capitals,Tristan Stubbs,Wicketkeeper-Batsman
Delhi Capitals,Faf du Plessis,Batsman
Delhi Capitals,Harry Brook,Batsman
Delhi Capitals,Karun Nair,Batsman
Delhi Capitals,Sameer Rizvi,Batsman
Delhi Capitals,Ashutosh Sharma,Batsman
Delhi Capitals,Donovan Ferreira,Wicketkeeper-Batsman
Delhi Capitals,KL Rahul,Wicketkeeper-Batsman
Delhi Capitals,Abishek Porel,Wicketkeeper-Batsman
Delhi Capitals,Axar Patel,All-rounder
Delhi Capitals,Ajay Mandal,All-rounder
Delhi Capitals,Vipraj Nigam,All-rounder
Delhi Capitals,Manvath Kumar,All-rounder
Delhi Capitals,Madhav Tiwari,All-rounder
Delhi Capitals,Kuldeep Yadav,Bowler
Delhi Capitals,Mitchell Starc,Bowler
Delhi Capitals,T Natarajan,Bowler
Delhi Capitals,Mohit Sharma,Bowler
Delhi Capitals,Mukesh Kumar,Bowler
Delhi Capitals,Darshan Nalkande,Bowler
Delhi Capitals,Dushmantha Chameera,Bowler
Delhi Capitals,Tripurana Vijay,All-rounder
Gujarat Titans,Jos Buttler,Wicketkeeper-Batsman
Gujarat Titans,Kumar Kushagra,Wicketkeeper-Batsman
Gujarat Titans,Anuj Rawat,Wicketkeeper-Batsman
Gujarat Titans,Shubman Gill,Batsman
Gujarat Titans,Sai Sudharsan,Batsman
Gujarat Titans,Shahrukh Khan,All-rounder
Gujarat Titans,Sai Kishore,Bowler
Gujarat Titans,Glenn Phillips,Batsman
Gujarat Titans,Mahipal Lomror,All-rounder
Gujarat Titans,Washington Sundar,All-rounder
Gujarat Titans,Nishant Sindhu,All-rounder
Gujarat Titans,Rashid Khan,Bowler
Gujarat Titans,Rahul Tewatia,All-rounder
Gujarat Titans,Karim Janat,All-rounder
Gujarat Titans,Kagiso Rabada,Bowler
Gujarat Titans,Mohammed Siraj,Bowler
Gujarat Titans,Prasidh Krishna,Bowler
Gujarat Titans,Gerald Coetzee,Bowler
Gujarat Titans,Arshad Khan,All-rounder
Gujarat Titans,Ishant Sharma,Bowler
Gujarat Titans,Gurnoor Brar,Bowler
Gujarat Titans,Kulwant Khejroliya,Bowler
Gujarat Titans,Manav Suthar,Bowler
Lucknow Super Giants,Ayush Badoni,Batsman
Lucknow Super Giants,David Miller,Batsman
Lucknow Super Giants,Aiden Markram,Batsman
Lucknow Super Giants,Himmat Singh,Batsman
Lucknow Super Giants,Nicholas Pooran,Wicketkeeper-Batsman
Lucknow Super Giants,Rishabh Pant,Wicketkeeper-Batsman
Lucknow Super Giants,Aryan Juyal,Wicketkeeper-Batsman
Lucknow Super Giants,Abdul Samad,All-rounder
Lucknow Super Giants,Mitchell Marsh,All-rounder
Lucknow Super Giants,Arshin Kulkarni,All-rounder
Lucknow Super Giants,Yuvraj Chaudhary,All-rounder
Lucknow Super Giants,Shahbaz Ahmed,All-rounder
Lucknow Super Giants,Ravi Bishnoi,Bowler
Lucknow Super Giants,Digvesh Singh,Bowler
Lucknow Super Giants,M Siddharth,Bowler
Lucknow Super Giants,Mayank Yadav,Bowler
Lucknow Super Giants,Mohsin Khan,Bowler
Lucknow Super Giants,Avesh Khan,Bowler
Lucknow Super Giants,Akash Deep,Bowler
Lucknow Super Giants,Shamar Joseph,Bowler
Lucknow Super Giants,Prince Yadav,All-rounder
Lucknow Super Giants,Rajvardhan Hangargekar,All-rounder
Lucknow Super Giants,Shardul Thakur,All-rounder
Lucknow Super Giants,Matthew Breetzke,Wicketkeeper-Batsman
Punjab Kings,Prabhsimran Singh,Wicketkeeper-Batsman
Punjab Kings,Shreyas Iyer,Batsman
Punjab Kings,Nehal Wadhera,Batsman
Punjab Kings,Azmatullah Omarzai,All-rounder
Punjab Kings,Praveen Dubey,Bowler
Punjab Kings,Josh Inglis,Wicketkeeper-Batsman
Punjab Kings,Vishnu Vinod,Wicketkeeper-Batsman
Punjab Kings,Shashank Singh,All-rounder
Punjab Kings,Aaron Hardie,All-rounder
Punjab Kings,Suryansh Shedge,All-rounder
Punjab Kings,Marcus Stoinis,All-rounder
Punjab Kings,Glenn Maxwell,All-rounder
Punjab Kings,Marco Jansen,All-rounder
Punjab Kings,Priyansh Arya,Batsman
Punjab Kings,Yuzvendra Chahal,Bowler
Punjab Kings,Harpreet Brar,All-rounder
Punjab Kings,Arshdeep Singh,Bowler
Punjab Kings,Vyshak Vijaykumar,Bowler
Punjab Kings,Yash Thakur,Bowler
Punjab Kings,Lockie Ferguson,Bowler
Punjab Kings,Kuldeep Sen,Bowler
Punjab Kings,Xavier Bartlett,Bowler
Sunrisers Hyderabad,Abhishek Sharma,All-rounder
Sunrisers Hyderabad,Travis Head,Batsman
Sunrisers Hyderabad,Atharva Taide,Batsman
Sunrisers Hyderabad,Abhinav Manohar,Batsman
Sunrisers Hyderabad,Aniket Varma,Batsman
Sunrisers Hyderabad,Sachin Baby,Batsman
Sunrisers Hyderabad,Heinrich Klaassen,Batsman/Wicketkeeper
Sunrisers Hyderabad,Ishan Kishan,Batsman/Wicketkeeper
Sunrisers Hyderabad,Nitish Kumar Reddy,All-rounder
Sunrisers Hyderabad,Harshal Patel,Bowler
Sunrisers Hyderabad,Kamindu Mendis,All-rounder
Sunrisers Hyderabad,Pat Cummins,All-rounder
Sunrisers Hyderabad,Mohammed Shami,Bowler
Sunrisers Hyderabad,Simarjeet Singh,Bowler
Sunrisers Hyderabad,Jaydev Unadkat,Bowler
Sunrisers Hyderabad,Wiaan Mulder,All-rounder
Sunrisers Hyderabad,Echan Malinga,Bowler
Sunrisers Hyderabad,Rahul Chahar,Bowler
Sunrisers Hyderabad,Adam Zampa,Bowler
Sunrisers Hyderabad,Zeeshan Ansari,All-rounder
